arrival,Stain,departure,Staout,time
Sta30,3号线,Sta67,3号线,2
Sta89,1号线,Sta64,1号线,2
Sta126,3号线,Sta29,3号线,2
Sta115,11号线,Sta162,11号线,3
Sta22,3号线,Sta138,3号线,3
Sta44,3号线,Sta158,3号线,3
Sta148,12号线,Sta73,12号线,3
Sta154,1号线,Sta107,1号线,3
Sta114,10号线,Sta168,10号线,3
Sta42,3号线,Sta35,3号线,3
Sta87,10号线,Sta88,10号线,3
Sta123,2号线,Sta127,2号线,3
Sta80,1号线,Sta89,1号线,3
Sta65,1号线,Sta49,1号线,3
Sta63,11号线,Sta3,11号线,3
Sta125,3号线,Sta121,3号线,3
Sta81,2号线,Sta127,2号线,3
Sta20,11号线,Sta23,11号线,3
Sta28,11号线,Sta124,11号线,3
Sta47,2号线,Sta123,2号线,3
Sta83,1号线,Sta107,1号线,3
Sta40,3号线,Sta131,3号线,3
Sta129,2号线,Sta9,2号线,3
Sta100,3号线,Sta39,3号线,3
Sta31,12号线,Sta17,12号线,3
Sta22,3号线,Sta133,3号线,3
Sta108,1号线,Sta83,1号线,3
Sta113,3号线,Sta141,3号线,3
Sta37,5号线,Sta16,5号线,3
Sta50,3号线,Sta61,3号线,3
Sta27,2号线,Sta81,2号线,3
Sta130,11号线,Sta120,11号线,3
Sta60,12号线,Sta148,12号线,3
Sta23,11号线,Sta56,11号线,3
Sta46,11号线,Sta63,11号线,3
Sta39,3号线,Sta131,3号线,3
Sta163,2号线,Sta9,2号线,3
Sta70,11号线,Sta55,11号线,3
Sta80,1号线,Sta97,1号线,3
Sta117,3号线,Sta44,3号线,3
Sta34,1号线,Sta106,1号线,3
Sta78,2号线,Sta53,2号线,3
Sta90,12号线,Sta26,12号线,3
Sta144,3号线,Sta67,3号线,3
Sta99,11号线,Sta166,11号线,3
Sta68,2号线,Sta52,2号线,3
Sta18,2号线,Sta79,2号线,3
Sta146,11号线,Sta130,11号线,3
Sta27,2号线,Sta48,2号线,3
Sta64,1号线,Sta150,1号线,3
Sta86,11号线,Sta46,11号线,3
Sta52,2号线,Sta76,2号线,3
Sta53,2号线,Sta163,2号线,3
Sta160,10号线,Sta94,10号线,4
Sta99,11号线,Sta124,11号线,4
Sta20,11号线,Sta55,11号线,4
Sta138,3号线,Sta41,3号线,4
Sta132,5号线,Sta37,5号线,4
Sta16,5号线,Sta69,5号线,4
Sta158,3号线,Sta142,3号线,4
Sta61,3号线,Sta156,3号线,4
Sta53,2号线,Sta9,2号线,4
Sta135,10号线,Sta134,10号线,4
Sta106,1号线,Sta110,1号线,4
Sta97,1号线,Sta110,1号线,4
Sta100,3号线,Sta131,3号线,4
Sta49,1号线,Sta149,1号线,4
Sta134,10号线,Sta85,10号线,4
Sta30,3号线,Sta41,3号线,4
Sta108,1号线,Sta107,1号线,4
Sta13,11号线,Sta70,11号线,4
Sta121,3号线,Sta11,3号线,4
Sta118,11号线,Sta115,11号线,4
Sta111,11号线,Sta140,11号线,4
Sta146,11号线,Sta25,11号线,4
Sta94,10号线,Sta87,10号线,4
Sta15,11号线,Sta86,11号线,4
Sta96,5号线,Sta132,5号线,4
Sta56,11号线,Sta118,11号线,4
Sta93,12号线,Sta72,12号线,4
Sta35,3号线,Sta109,3号线,4
Sta47,2号线,Sta18,2号线,4
Sta141,3号线,Sta142,3号线,4
Sta137,12号线,Sta101,12号线,4
Sta167,3号线,Sta100,3号线,4
Sta113,3号线,Sta167,3号线,4
Sta74,1号线,Sta128,1号线,4
Sta122,11号线,Sta77,11号线,4
Sta151,2号线,Sta48,2号线,4
Sta153,3号线,Sta112,3号线,4
Sta33,3号线,Sta112,3号线,4
Sta149,1号线,Sta74,1号线,4
Sta76,2号线,Sta57,2号线,4
Sta161,3号线,Sta21,3号线,4
Sta7,10号线,Sta160,10号线,4
Sta143,3号线,Sta156,3号线,4
Sta161,3号线,Sta12,3号线,4
Sta119,3号线,Sta50,3号线,4
Sta91,12号线,Sta32,12号线,4
Sta117,3号线,Sta147,3号线,4
Sta111,11号线,Sta82,11号线,4
Sta10,5号线,Sta96,5号线,4
Sta66,3号线,Sta12,3号线,4
Sta150,1号线,Sta154,1号线,4
Sta21,3号线,Sta133,3号线,4
Sta87,10号线,Sta160,10号线,5
Sta78,2号线,Sta79,2号线,5
Sta56,11号线,Sta20,11号线,5
Sta144,3号线,Sta30,3号线,5
Sta89,1号线,Sta97,1号线,5
Sta123,2号线,Sta81,2号线,5
Sta101,12号线,Sta31,12号线,5
Sta86,11号线,Sta63,11号线,5
Sta138,3号线,Sta30,3号线,5
Sta127,2号线,Sta27,2号线,5
Sta48,2号线,Sta81,2号线,5
Sta47,2号线,Sta79,2号线,5
Sta26,12号线,Sta17,12号线,5
Sta135,10号线,Sta168,10号线,5
Sta108,1号线,Sta159,1号线,5
Sta159,1号线,Sta1,1号线,5
Sta4,10号线,Sta2,10号线,5
Sta118,11号线,Sta23,11号线,5
Sta168,10号线,Sta134,10号线,5
Sta68,2号线,Sta76,2号线,5
Sta80,1号线,Sta110,1号线,5
Sta64,1号线,Sta154,1号线,5
Sta154,1号线,Sta83,1号线,5
Sta125,3号线,Sta153,3号线,5
Sta107,1号线,Sta150,1号线,5
Sta59,4号线,Sta19,4号线,5
Sta147,3号线,Sta42,3号线,5
Sta122,11号线,Sta36,11号线,5
Sta145,10号线,Sta103,10号线,5
Sta89,1号线,Sta150,1号线,5
Sta118,11号线,Sta162,11号线,5
Sta157,10号线,Sta114,10号线,5
Sta68,2号线,Sta151,2号线,5
Sta40,3号线,Sta39,3号线,5
